Date,Close,High,Low,Open,Volume,Adj Close
2022-01-10,12597.349609375,12811.169921875,12560.7001953125,12802.759765625,50021100.0,12597.349609375
2022-01-11,12709.7099609375,12772.6298828125,12691.2998046875,12740.599609375,45521100.0,12709.7099609375
2022-01-12,12670.4697265625,12740.6103515625,12629.3798828125,12737.8896484375,38966100.0,12670.4697265625
2022-01-13,12620.4404296875,12662.4501953125,12589.4599609375,12626.509765625,35179000.0,12620.4404296875
2022-01-14,12525.6298828125,12596.4296875,12506.580078125,12512.2998046875,35254800.0,12525.6298828125
2022-01-17,12633.2099609375,12657.5703125,12547.009765625,12560.919921875,33568500.0,12633.2099609375
2022-01-18,12529.5595703125,12562.0,12484.4404296875,12556.1396484375,38853100.0,12529.5595703125
2022-01-19,12525.6904296875,12570.0595703125,12448.4404296875,12465.2802734375,41889400.0,12525.6904296875
2022-01-20,12560.7001953125,12575.3896484375,12449.1904296875,12510.0302734375,33591900.0,12560.7001953125
2022-01-21,12355.5400390625,12467.01953125,12304.01953125,12433.2900390625,56612000.0,12355.5400390625
2022-01-24,11881.2998046875,12304.2099609375,11878.26953125,12292.6298828125,78440500.0,11881.2998046875
2022-01-25,11945.6904296875,11996.169921875,11867.7802734375,11914.330078125,59880000.0,11945.6904296875
2022-01-26,12098.259765625,12161.2099609375,12042.4501953125,12053.1796875,46058100.0,12098.259765625
2022-01-27,12176.900390625,12205.25,11917.7099609375,11924.66015625,47700000.0,12176.900390625
2022-01-28,12104.4404296875,12166.8701171875,11958.6904296875,12154.759765625,44822800.0,12104.4404296875
2022-01-31,12226.7001953125,12291.900390625,12175.7802734375,12201.8896484375,46861100.0,12226.7001953125
2022-02-01,12359.7998046875,12408.7998046875,12304.830078125,12338.5400390625,57512100.0,12359.7998046875
2022-02-02,12360.3701171875,12414.419921875,12324.919921875,12337.51953125,56340600.0,12360.3701171875
2022-02-03,12234.150390625,12349.3095703125,12205.0498046875,12269.919921875,49183800.0,12234.150390625
2022-02-04,12140.25,12305.7900390625,12121.6201171875,12289.8896484375,41373300.0,12140.25
2022-02-07,12193.8095703125,12214.33984375,12110.400390625,12193.3798828125,38826300.0,12193.8095703125
2022-02-08,12155.66015625,12256.5595703125,12131.51953125,12218.41015625,41798400.0,12155.66015625
2022-02-09,12367.8203125,12422.9501953125,12259.83984375,12260.349609375,46249900.0,12367.8203125
2022-02-10,12313.16015625,12391.41015625,12279.599609375,12377.51953125,81135300.0,12313.16015625
2022-02-11,12231.9697265625,12291.650390625,12186.25,12220.8701171875,47523000.0,12231.9697265625
2022-02-14,12026.3701171875,12088.2197265625,11924.5498046875,12050.2099609375,56321900.0,12026.3701171875
2022-02-15,12181.8603515625,12210.599609375,12016.0703125,12016.0703125,44583400.0,12181.8603515625
2022-02-16,12191.5703125,12268.669921875,12166.099609375,12212.6796875,34605200.0,12191.5703125
2022-02-17,12075.26953125,12197.8603515625,12032.73046875,12184.83984375,41357900.0,12075.26953125
2022-02-18,12010.08984375,12157.6201171875,11981.0595703125,12100.169921875,45659000.0,12010.08984375
2022-02-21,11891.8798828125,12095.2197265625,11852.990234375,12055.7197265625,46645300.0,11891.8798828125
2022-02-22,11959.3896484375,11979.4599609375,11687.5595703125,11695.1796875,53590300.0,11959.3896484375
2022-02-23,11941.8896484375,12125.16015625,11941.8896484375,11988.7998046875,38248400.0,11941.8896484375
2022-02-24,11636.759765625,11736.23046875,11480.759765625,11641.66015625,87801500.0,11636.759765625
2022-02-25,11987.3095703125,11995.9599609375,11665.2900390625,11672.01953125,72140000.0,11987.3095703125
2022-02-28,11986.7802734375,11989.9501953125,11842.759765625,11857.8603515625,75288800.0,11986.7802734375
2022-03-01,11862.2802734375,12021.7197265625,11789.75,11987.4404296875,72009200.0,11862.2802734375
2022-03-02,11871.58984375,11906.75,11668.9599609375,11784.8603515625,76002100.0,11871.58984375
2022-03-03,11675.7001953125,11878.1298828125,11658.830078125,11838.9296875,57692100.0,11675.7001953125
2022-03-04,11300.1298828125,11609.5302734375,11291.83984375,11592.759765625,90559500.0,11300.1298828125
2022-03-07,11204.669921875,11299.9296875,10871.240234375,11154.330078125,97185400.0,11204.669921875
2022-03-08,11057.0595703125,11370.8798828125,10958.5302734375,11116.9599609375,96813300.0,11057.0595703125
2022-03-09,11493.3603515625,11493.3603515625,11164.6298828125,11175.8896484375,90776000.0,11493.3603515625
2022-03-10,11391.099609375,11546.3203125,11388.73046875,11517.1796875,63392600.0,11391.099609375
2022-03-11,11495.6904296875,11674.0498046875,11381.6796875,11444.0400390625,66683200.0,11495.6904296875
2022-03-14,11678.9404296875,11697.419921875,11494.990234375,11514.3095703125,54495700.0,11678.9404296875
2022-03-15,11682.2197265625,11702.599609375,11510.490234375,11599.48046875,52958700.0,11682.2197265625
2022-03-16,11900.9599609375,11980.3203125,11821.9697265625,11832.5703125,65912900.0,11900.9599609375
2022-03-17,12061.8701171875,12061.8701171875,11889.2802734375,11926.6103515625,57508900.0,12061.8701171875
2022-03-18,12184.990234375,12184.990234375,11997.599609375,12075.83984375,116916000.0,12184.990234375
2022-03-21,12171.2802734375,12202.2900390625,12110.58984375,12164.4404296875,40956500.0,12171.2802734375
2022-03-22,12202.6201171875,12232.169921875,12101.349609375,12161.1103515625,39177100.0,12202.6201171875
2022-03-23,12099.5,12243.599609375,12096.4501953125,12212.599609375,34592600.0,12099.5
2022-03-24,12131.4501953125,12147.9599609375,12069.099609375,12108.849609375,40176600.0,12131.4501953125
2022-03-25,12121.669921875,12169.1396484375,12072.0595703125,12136.2197265625,29417400.0,12121.669921875
2022-03-28,12155.9501953125,12264.9296875,12151.240234375,12159.0703125,44342800.0,12155.9501953125
2022-03-29,12325.580078125,12388.7900390625,12198.0400390625,12234.1103515625,55819700.0,12325.580078125
2022-03-30,12243.73046875,12327.9501953125,12225.2099609375,12268.66015625,44515100.0,12243.73046875
2022-03-31,12161.5302734375,12300.669921875,12161.5302734375,12293.0595703125,51011200.0,12161.5302734375
2022-04-01,12179.080078125,12212.6201171875,12136.0498046875,12157.169921875,34751300.0,12179.080078125
2022-04-04,12340.8701171875,12340.8701171875,12211.8095703125,12263.1396484375,37401400.0,12340.8701171875
2022-04-05,12376.9697265625,12380.5703125,12300.169921875,12353.51953125,43808100.0,12376.9697265625
2022-04-06,12320.099609375,12395.8896484375,12247.4599609375,12375.83984375,50006800.0,12320.099609375
2022-04-07,12372.4599609375,12472.080078125,12353.2802734375,12392.8896484375,47636000.0,12372.4599609375
2022-04-08,12507.6904296875,12507.6904296875,12422.509765625,12488.919921875,45452800.0,12507.6904296875
